Date,Symbol,Order,Shares
2008-03-03,JPM,BUY,100
2008-03-18,JPM,SELL,100
2008-05-20,JPM,BUY,100
2008-07-16,JPM,SELL,100
2008-07-17,JPM,SELL,100
2008-08-12,JPM,BUY,100
2008-08-19,JPM,BUY,100
2008-08-28,JPM,SELL,100
2008-09-11,JPM,SELL,100
2008-09-15,JPM,BUY,100
2008-09-19,JPM,SELL,100
2008-10-07,JPM,BUY,100
2008-11-19,JPM,BUY,100
2008-12-05,JPM,SELL,100
2009-01-09,JPM,BUY,100
2009-01-28,JPM,SELL,100
2009-02-19,JPM,BUY,100
2009-03-12,JPM,SELL,100
2009-03-18,JPM,SELL,100
2009-05-20,JPM,BUY,100
2009-06-17,JPM,BUY,100
2009-06-19,JPM,SELL,100
2009-07-02,JPM,BUY,100
2009-07-13,JPM,SELL,100
2009-07-15,JPM,SELL,100
2009-09-01,JPM,BUY,100
2009-09-22,JPM,SELL,100
2009-10-01,JPM,BUY,100
2009-10-30,JPM,BUY,100
2009-11-23,JPM,SELL,100
